example_id                                            | status  | run_time        |
----------------------------------------------------- | ------- | --------------- |
./spec/helpers/merchants_helper_spec.rb[1:1]          | pending | 0.00003 seconds |
./spec/helpers/transactions_helper_spec.rb[1:1]       | pending | 0.00002 seconds |
./spec/models/merchant_spec.rb[1:1]                   | pending | 0.00002 seconds |
./spec/models/transaction_spec.rb[1:1]                | pending | 0.00001 seconds |
./spec/requests/api/v1/merchants_spec.rb[1:1:1]       | failed  | 0.2767 seconds  |
./spec/requests/api/v1/merchants_spec.rb[1:1:2]       | failed  | 0.00203 seconds |
./spec/requests/api/v1/merchants_spec.rb[1:2:1:1]     | failed  | 0.00186 seconds |
./spec/requests/api/v1/merchants_spec.rb[1:2:1:2]     | failed  | 0.00183 seconds |
./spec/requests/api/v1/merchants_spec.rb[1:2:2:1]     | failed  | 0.0024 seconds  |
./spec/requests/api/v1/merchants_spec.rb[1:2:2:2]     | failed  | 0.00268 seconds |
./spec/requests/api/v1/merchants_spec.rb[1:3:1:1]     | failed  | 0.00271 seconds |
./spec/requests/api/v1/merchants_spec.rb[1:3:1:2]     | failed  | 0.00237 seconds |
./spec/requests/api/v1/merchants_spec.rb[1:3:2:1]     | failed  | 0.00233 seconds |
./spec/requests/api/v1/merchants_spec.rb[1:3:2:2]     | failed  | 0.002 seconds   |
./spec/requests/api/v1/merchants_spec.rb[1:4:1:1]     | failed  | 0.00178 seconds |
./spec/requests/api/v1/merchants_spec.rb[1:4:1:2]     | failed  | 0.0025 seconds  |
./spec/requests/api/v1/merchants_spec.rb[1:5:1]       | failed  | 0.0028 seconds  |
./spec/requests/api/v1/transactions_spec.rb[1:1:1]    | failed  | 0.0018 seconds  |
./spec/requests/api/v1/transactions_spec.rb[1:1:2]    | failed  | 0.00206 seconds |
./spec/requests/api/v1/transactions_spec.rb[1:2:1:1]  | failed  | 0.00176 seconds |
./spec/requests/api/v1/transactions_spec.rb[1:2:1:2]  | failed  | 0.00199 seconds |
./spec/requests/api/v1/transactions_spec.rb[1:2:2:1]  | failed  | 0.00183 seconds |
./spec/requests/api/v1/transactions_spec.rb[1:2:2:2]  | failed  | 0.00204 seconds |
./spec/requests/api/v1/transactions_spec.rb[1:3:1:1]  | failed  | 0.00263 seconds |
./spec/requests/api/v1/transactions_spec.rb[1:3:1:2]  | failed  | 0.00199 seconds |
./spec/requests/api/v1/transactions_spec.rb[1:3:2:1]  | failed  | 0.00271 seconds |
./spec/requests/api/v1/transactions_spec.rb[1:3:2:2]  | failed  | 0.00219 seconds |
./spec/requests/api/v1/transactions_spec.rb[1:4:1:1]  | failed  | 0.00192 seconds |
./spec/requests/api/v1/transactions_spec.rb[1:4:1:2]  | failed  | 0.00332 seconds |
./spec/requests/api/v1/transactions_spec.rb[1:5:1]    | failed  | 0.0025 seconds  |
./spec/routing/merchants_routing_spec.rb[1:1:1]       | passed  | 0.00501 seconds |
./spec/routing/merchants_routing_spec.rb[1:1:2]       | passed  | 0.00213 seconds |
./spec/routing/merchants_routing_spec.rb[1:1:3]       | passed  | 0.00199 seconds |
./spec/routing/merchants_routing_spec.rb[1:1:4]       | passed  | 0.00203 seconds |
./spec/routing/merchants_routing_spec.rb[1:1:5]       | passed  | 0.00204 seconds |
./spec/routing/merchants_routing_spec.rb[1:1:6]       | passed  | 0.0019 seconds  |
./spec/routing/transactions_routing_spec.rb[1:1:1]    | passed  | 0.00291 seconds |
./spec/routing/transactions_routing_spec.rb[1:1:2]    | passed  | 0.00192 seconds |
./spec/routing/transactions_routing_spec.rb[1:1:3]    | passed  | 0.00195 seconds |
./spec/routing/transactions_routing_spec.rb[1:1:4]    | passed  | 0.00256 seconds |
./spec/routing/transactions_routing_spec.rb[1:1:5]    | passed  | 0.00234 seconds |
./spec/routing/transactions_routing_spec.rb[1:1:6]    | passed  | 0.0021 seconds  |
./spec/views/merchants/edit.html.erb_spec.rb[1:1]     | passed  | 1.24 seconds    |
./spec/views/merchants/index.html.erb_spec.rb[1:1]    | passed  | 0.01417 seconds |
./spec/views/merchants/new.html.erb_spec.rb[1:1]      | passed  | 0.0076 seconds  |
./spec/views/merchants/show.html.erb_spec.rb[1:1]     | passed  | 0.01129 seconds |
./spec/views/transactions/edit.html.erb_spec.rb[1:1]  | failed  | 0.01442 seconds |
./spec/views/transactions/index.html.erb_spec.rb[1:1] | failed  | 0.00489 seconds |
./spec/views/transactions/new.html.erb_spec.rb[1:1]   | failed  | 0.03088 seconds |
./spec/views/transactions/show.html.erb_spec.rb[1:1]  | failed  | 0.00531 seconds |
